source_text,reason,length
Is Query Report,prior_approved_a1a2,15
Kanban View,prior_approved_a1a2,11
LDAP Group Member attribute,prior_approved_a1a2,27
LDAP Search and Paths,prior_approved_a1a2,21
Link,prior_approved_a1a2,4
Link Count,prior_approved_a1a2,10
Link Details,prior_approved_a1a2,12
Link Field Results Limit,prior_approved_a1a2,24
Link Filters,prior_approved_a1a2,12
Link To in Row,prior_approved_a1a2,14
Link Type,prior_approved_a1a2,9
Link Type in Row,prior_approved_a1a2,16
"Link for About Us Page is \""/about\"".",prior_approved_a1a2,37
List / Search Settings,prior_approved_a1a2,22
List Columns,prior_approved_a1a2,12
List View,prior_approved_a1a2,9
List of patches executed,prior_approved_a1a2,24
List setting message,prior_approved_a1a2,20
Login with Email Link,prior_approved_a1a2,21
Map View,prior_approved_a1a2,8
Max Report Rows,prior_approved_a1a2,15
"Meaning of Submit, Cancel, Amend",prior_approved_a1a2,32
New Address,prior_approved_a1a2,11
New Chart,prior_approved_a1a2,9
New Contact,prior_approved_a1a2,11
New Custom Block,prior_approved_a1a2,16
New Document Form,prior_approved_a1a2,17
New Event,prior_approved_a1a2,9
New Links,prior_approved_a1a2,9
New Number Card,prior_approved_a1a2,15
New Onboarding,prior_approved_a1a2,14
New Quick List,prior_approved_a1a2,14
New Role,prior_approved_a1a2,8
New Shortcut,prior_approved_a1a2,12
New Users (Last 30 days),prior_approved_a1a2,24
New Value,prior_approved_a1a2,9
New Workflow Name,prior_approved_a1a2,17
New Workspace,prior_approved_a1a2,13
New line separated list of scope values.,prior_approved_a1a2,40
No New notifications,prior_approved_a1a2,20
Nothing New,prior_approved_a1a2,11
Open Communication,prior_approved_a1a2,18
Open Source Applications for the Web,prior_approved_a1a2,36
Open console,prior_approved_a1a2,12
Open in a new tab,prior_approved_a1a2,17
Open in new tab,prior_approved_a1a2,15
Open reference document,prior_approved_a1a2,23
Package Import,prior_approved_a1a2,14
Prepared Report Analytics,prior_approved_a1a2,25
Print Format Builder,prior_approved_a1a2,20
Print Format Builder Beta,prior_approved_a1a2,25
Print Format Error,prior_approved_a1a2,18
Print Format Field Template,prior_approved_a1a2,27
Print Format For,prior_approved_a1a2,16
Print Format not found,prior_approved_a1a2,22
Print Heading,prior_approved_a1a2,13
Print Style,prior_approved_a1a2,11
Print document,prior_approved_a1a2,14
Quick List Filter,prior_approved_a1a2,17
Refresh Print Preview,prior_approved_a1a2,21
Reload List,prior_approved_a1a2,11
Reload Report,prior_approved_a1a2,13
Remove,prior_approved_a1a2,6
Remove Failed Jobs,prior_approved_a1a2,18
Remove all fields in the column,prior_approved_a1a2,31
Remove column,prior_approved_a1a2,13
Remove field,prior_approved_a1a2,12
Remove last column,prior_approved_a1a2,18
Remove page break,prior_approved_a1a2,17
Remove section,prior_approved_a1a2,14
Remove tab,prior_approved_a1a2,10
Rename Fieldname,prior_approved_a1a2,16
Report Ref DocType,prior_approved_a1a2,18
Report View,prior_approved_a1a2,11
Report bug,prior_approved_a1a2,10
"Report initiated, click to view status",prior_approved_a1a2,38
Report limit reached,prior_approved_a1a2,20
Report timed out.,prior_approved_a1a2,17
Report {0} deleted,prior_approved_a1a2,18
Report {0} saved,prior_approved_a1a2,16
Reset Dashboard Customizations,prior_approved_a1a2,30
Reset Password Link Expiry Duration,prior_approved_a1a2,35
Rows Threshold for Grid Search,prior_approved_a1a2,30
Save Customizations,prior_approved_a1a2,19
Save on Completion,prior_approved_a1a2,18
Save the document.,prior_approved_a1a2,18
Saving Sidebar,prior_approved_a1a2,14
Search Results,prior_approved_a1a2,14
Search by filename or extension,prior_approved_a1a2,31
Search fields,prior_approved_a1a2,13
Search fieldtypes...,prior_approved_a1a2,20
Search for {0},prior_approved_a1a2,14
Search properties...,prior_approved_a1a2,20
Select Group By...,prior_approved_a1a2,18
Select List View,prior_approved_a1a2,16
Select Report,prior_approved_a1a2,13
Share this document with,prior_approved_a1a2,24
Show External Link Warning,prior_approved_a1a2,26
Show Title in Link Fields,prior_approved_a1a2,25
Show {0} List,prior_approved_a1a2,13
Sidebar Item Group,prior_approved_a1a2,18
Sidebar Item Group Link,prior_approved_a1a2,23
Sort Options,prior_approved_a1a2,12
Start Import,prior_approved_a1a2,12
Submit an Issue,prior_approved_a1a2,15
Submit another response,prior_approved_a1a2,23
Submit button label,prior_approved_a1a2,19
Submit on Creation,prior_approved_a1a2,18
System Health Report,prior_approved_a1a2,20
System Health Report Errors,prior_approved_a1a2,27
